Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Return
XLB,2021/9/7,85.07,85.129997,84.690002,84.809998,81.769379,6932300,
XLB,2021/9/8,84.559998,84.639999,83.709999,84,80.988419,6210000,-0.01
XLB,2021/9/9,83.760002,84.599998,83.760002,84.029999,81.017342,4935700,0
XLB,2021/9/10,84.419998,85.050003,83.959999,84.010002,80.998062,8890100,0
XLB,2021/9/13,84.75,85,83.459999,83.989998,80.978775,7610000,0
XLB,2021/9/14,84.279999,84.339996,82.889999,83.07,80.091766,6043700,-0.011
XLB,2021/9/15,83.279999,84.050003,83.120003,83.949997,80.940208,6325800,0.011
XLB,2021/9/16,83.629997,83.709999,82.440002,83.040001,80.062843,5625300,-0.011
XLB,2021/9/17,82.580002,82.730003,81.07,81.330002,78.414139,9966000,-0.021
XLB,2021/9/20,79.080002,79.790001,78.370003,79.419998,76.907372,10077800,-0.019
XLB,2021/9/21,79.910004,80.050003,78.889999,79.230003,76.723373,7614500,-0.002
XLB,2021/9/22,79.989998,80.849998,79.989998,80.050003,77.517441,7656100,0.01
XLB,2021/9/23,80.650002,81.739998,80.57,81.190002,78.621368,4758300,0.014
XLB,2021/9/24,80.82,81.5,80.629997,81.07,78.505173,3625900,-0.001
XLB,2021/9/27,81.279999,82.160004,81.269997,81.699997,79.115234,5216500,0.008
XLB,2021/9/28,81.5,81.620003,80.440002,80.690002,78.137192,8285300,-0.012
XLB,2021/9/29,80.68,80.860001,80.199997,80.360001,77.817627,6969800,-0.004
XLB,2021/9/30,80.599998,80.93,79.089996,79.110001,76.607185,10729400,-0.016
XLB,2021/10/1,79.489998,80.800003,78.889999,80.370003,77.827309,9250000,0.016
XLB,2021/10/4,80.470001,80.970001,79.449997,80.019997,77.48838,8555800,-0.004
XLB,2021/10/5,80.239998,81.18,79.699997,80.730003,78.175926,6792100,0.009
XLB,2021/10/6,79.910004,80.580002,79.059998,80.580002,78.030678,7724300,-0.002
XLB,2021/10/7,81.269997,82.519997,81.269997,81.629997,79.047455,8469200,0.013
XLB,2021/10/8,81.830002,82.029999,81.029999,81.18,78.611687,6399000,-0.006
XLB,2021/10/11,81.459999,82.379997,81.18,81.190002,78.621368,4836600,0
XLB,2021/10/12,81.239998,81.68,81,81.300003,78.72789,7665700,0.001
XLB,2021/10/13,81.830002,82.279999,80.93,81.910004,79.318596,7215700,0.008
XLB,2021/10/14,82.709999,84.019997,82.480003,83.900002,81.245636,5687100,0.024
XLB,2021/10/15,84.339996,84.580002,83.940002,84.150002,81.487732,5852500,0.003
XLB,2021/10/18,83.43,84.25,83.279999,84.089996,81.429626,6349900,-0.001
XLB,2021/10/19,84.470001,84.529999,83.830002,84.529999,81.855698,4795500,0.005
XLB,2021/10/20,84.599998,85.309998,84.400002,85.209999,82.514183,4651900,0.008
XLB,2021/10/21,84.860001,85.019997,84.110001,84.989998,82.301147,6696100,-0.003
XLB,2021/10/22,85.150002,85.730003,84.830002,84.830002,82.146217,5784200,-0.002
XLB,2021/10/25,85.370003,86.040001,84.849998,85.68,82.969322,5399700,0.01
XLB,2021/10/26,85.830002,86.269997,85.120003,85.919998,83.201736,5776900,0.003
XLB,2021/10/27,85.589996,85.739998,84.629997,84.690002,82.010643,5702100,-0.014
XLB,2021/10/28,84.790001,85.690002,84.769997,85.529999,82.824059,4151700,0.01
XLB,2021/10/29,85.209999,85.830002,84.809998,85.120003,82.427048,4349600,-0.005
XLB,2021/11/1,85.260002,85.830002,85.019997,85.32,82.620712,5520200,0.002
XLB,2021/11/2,85.540001,86.459999,85.379997,86.290001,83.56002,6635600,0.011
XLB,2021/11/3,86.440002,87.559998,86.209999,87.190002,84.431549,9593600,0.01
XLB,2021/11/4,87.32,87.510002,86.769997,87.139999,84.383133,5036600,-0.001
XLB,2021/11/5,87.360001,88.059998,87.269997,87.82,85.041626,5829400,0.008
XLB,2021/11/8,88.779999,89.230003,88.610001,88.919998,86.106812,5345000,0.013
XLB,2021/11/9,88.949997,89.330002,88.589996,89.330002,86.503838,7884000,0.005
XLB,2021/11/10,89.239998,89.650002,88.540001,88.720001,85.913139,6436200,-0.007
XLB,2021/11/11,89.120003,89.800003,88.93,89.43,86.600677,4079200,0.008
XLB,2021/11/12,89.669998,90.150002,89.459999,90.099998,87.249481,4387300,0.007
XLB,2021/11/15,90.129997,90.169998,89.370003,89.690002,86.852463,4314000,-0.005
XLB,2021/11/16,89.739998,89.989998,89.379997,89.440002,86.610359,4388100,-0.003
XLB,2021/11/17,89.300003,89.529999,88.779999,88.849998,86.039024,5279300,-0.007
XLB,2021/11/18,88.919998,89.089996,88.290001,88.470001,85.671059,5194600,-0.004
XLB,2021/11/19,88.160004,88.839996,88.019997,88.309998,85.516106,5213000,-0.002
XLB,2021/11/22,88.349998,89.400002,88.309998,88.449997,85.65168,6689900,0.002
XLB,2021/11/23,88.480003,89.169998,88.089996,88.540001,85.738838,7615700,0.001
XLB,2021/11/24,88.07,88.269997,87.720001,87.910004,85.128777,5182600,-0.007
XLB,2021/11/26,85.910004,86.809998,85.470001,86.400002,83.666542,7107500,-0.017
XLB,2021/11/29,87.059998,87.25,86.230003,86.800003,84.053894,6140200,0.005
XLB,2021/11/30,86.360001,86.580002,84.489998,84.650002,81.971901,12002300,-0.025
XLB,2021/12/1,85.989998,86.730003,83.75,83.790001,81.139114,11242800,-0.01
XLB,2021/12/2,84.07,85.849998,83.910004,85.5,82.795006,8978700,0.02
XLB,2021/12/3,85.639999,86.559998,84.550003,85.309998,82.611015,9988600,-0.002
XLB,2021/12/6,86.169998,87.239998,85.860001,86.559998,83.82148,8123000,0.015
XLB,2021/12/7,87.559998,88.43,87.550003,87.879997,85.099724,5653500,0.015
XLB,2021/12/8,88.18,88.449997,87.739998,88.25,85.458008,4608200,0.004
XLB,2021/12/9,87.589996,88.18,87.400002,87.760002,84.983513,3300800,-0.006
XLB,2021/12/10,88.43,88.639999,87.720001,88.300003,85.506432,4792500,0.006
XLB,2021/12/13,88.25,88.449997,87.480003,87.769997,84.993202,4703300,-0.006
XLB,2021/12/14,87.699997,88.419998,87.440002,87.68,84.906052,4536800,-0.001
XLB,2021/12/15,87.309998,87.980003,86.360001,87.870003,85.090034,7311500,0.002
XLB,2021/12/16,88.470001,89.339996,88.400002,88.769997,85.961563,6535600,0.01
XLB,2021/12/17,88.449997,88.709999,87.599998,87.660004,84.886681,7822900,-0.013
XLB,2021/12/20,85.980003,86.029999,84.57,85.660004,83.370331,7077700,-0.018
XLB,2021/12/21,86.279999,87.080002,86.209999,86.739998,84.421455,4531800,0.013
XLB,2021/12/22,86.639999,87.5,86.529999,87.43,85.093002,3095100,0.008
XLB,2021/12/23,87.57,88.599998,87.440002,88.309998,85.949486,2872800,0.01
XLB,2021/12/27,88.589996,89.650002,88.459999,89.639999,87.243942,2459300,0.015
XLB,2021/12/28,89.599998,90.260002,89.580002,90.160004,87.750046,4268500,0.006
XLB,2021/12/29,90.080002,90.690002,90,90.529999,88.110146,2576900,0.004
XLB,2021/12/30,90.559998,91.080002,90.139999,90.209999,87.798698,3170000,-0.004
XLB,2021/12/31,90.050003,90.839996,90.029999,90.610001,88.188011,3228900,0.004
XLB,2022/1/3,90.720001,90.830002,89.220001,89.43,87.039551,7544300,-0.013
XLB,2022/1/4,89.690002,90.870003,89.650002,90.529999,88.110146,9968700,0.012
XLB,2022/1/5,91,92.309998,90.489998,90.519997,88.10041,10626400,0
XLB,2022/1/6,90.730003,90.730003,89.25,89.379997,86.990891,8934300,-0.013
XLB,2022/1/7,89.489998,89.639999,88.910004,89.300003,86.913025,8271800,-0.001
XLB,2022/1/10,88.82,89.029999,87.550003,88.389999,86.027344,8409600,-0.01
XLB,2022/1/11,88.519997,89.389999,87.760002,89.360001,86.971413,6807400,0.011
XLB,2022/1/12,90.110001,90.449997,89.360001,90.260002,87.847366,5107800,0.01
XLB,2022/1/13,90.120003,90.589996,89.339996,89.559998,87.166069,6003100,-0.008
XLB,2022/1/14,88.57,88.970001,87.739998,88.800003,86.426392,7294400,-0.008
XLB,2022/1/18,87.839996,87.989998,86.949997,87.629997,85.287659,7790900,-0.013
XLB,2022/1/19,88.279999,88.5,87.370003,87.410004,85.073555,7416200,-0.003
XLB,2022/1/20,87.629997,88.279999,86.040001,86.139999,83.837494,8573600,-0.015
XLB,2022/1/21,85.629997,85.949997,83.760002,84.040001,81.793625,16271200,-0.024
XLB,2022/1/24,82.459999,84.309998,80.910004,84.089996,81.842293,21227000,0.001
XLB,2022/1/25,82.830002,84.040001,81.400002,83.330002,81.102608,14655600,-0.009
XLB,2022/1/26,84,84.699997,81.629997,82.459999,80.255859,13460800,-0.01
XLB,2022/1/27,83.370003,84.470001,81.959999,82.739998,80.528374,11587300,0.003
XLB,2022/1/28,82.379997,83.25,81.230003,83.220001,80.995552,11008000,0.006
XLB,2022/1/31,82.779999,84.510002,82.639999,84.449997,82.192657,7274700,0.015
