Date,SentimentScore
2021-09-24,8
2021-11-09,26
2021-11-29,21
2022-03-21,2
2022-05-24,28
2022-06-17,9
2022-08-26,18
2022-09-28,12
2022-11-30,28
2023-01-10,1
